codigo_manzana,total_pob,cuenta_1,cuenta_2,cuenta_3,cuenta_4,cuenta_5,cuenta_6,cuenta_7,cuenta_8,cuenta_9,cuenta_10,cuenta_11,cuenta_12,cuenta_13,cuenta_14,cuenta_15,cuenta_16,cuenta_17,cuenta_18,cuenta_19,cuenta_20,cuenta_21,cantidad_casas,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000110000000000000000,2991,227.0,125.0,147.0,293.0,515.0,455.0,322.0,251.0,171.0,150.0,78.0,72.0,47.0,38.0,27.0,29.0,17.0,17.0,8.0,2.0,,199,3.0,,,
5000110000000001010103,22,3.0,1.0,5.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,1.0,,,,,9,4.0,2.3,0.44,0.44
5000110000000001010104,157,12.0,13.0,9.0,11.0,14.0,10.0,17.0,14.0,11.0,4.0,10.0,13.0,6.0,5.0,4.0,2.0,2.0,,,,,54,5.0,2.2,0.54,0.94
5000110000000001010106,113,3.0,4.0,8.0,12.0,11.0,11.0,9.0,6.0,7.0,4.0,14.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,,,54,5.0,2.7,0.41,0.85
5000110000000001010107,157,11.0,11.0,17.0,9.0,13.0,11.0,21.0,16.0,9.0,7.0,6.0,4.0,5.0,9.0,4.0,1.0,2.0,,1.0,,,55,5.0,2.8,0.56,0.93
5000110000000001010108,212,14.0,10.0,12.0,13.0,28.0,20.0,19.0,11.0,6.0,17.0,18.0,10.0,9.0,10.0,5.0,2.0,4.0,4.0,,,,82,5.0,2.5,0.66,0.88
5000110000000001010109,137,8.0,10.0,8.0,10.0,11.0,13.0,12.0,5.0,13.0,10.0,10.0,7.0,3.0,2.0,4.0,4.0,4.0,3.0,,,,51,4.0,2.5,0.41,0.94
5000110000000001010110,133,7.0,10.0,7.0,6.0,17.0,10.0,9.0,9.0,7.0,7.0,11.0,6.0,7.0,6.0,8.0,3.0,2.0,1.0,,,,50,5.0,2.7,0.54,0.96
5000110000000001010111,148,8.0,7.0,14.0,6.0,11.0,13.0,17.0,7.0,9.0,11.0,12.0,10.0,1.0,6.0,6.0,8.0,1.0,,1.0,,,65,4.0,2.6,0.46,0.91
5000110000000001010113,216,15.0,11.0,14.0,13.0,28.0,21.0,10.0,18.0,12.0,12.0,14.0,11.0,12.0,4.0,9.0,4.0,3.0,3.0,2.0,,,77,5.0,2.2,0.57,0.88
5000110000000001010114,246,17.0,17.0,11.0,17.0,23.0,28.0,19.0,13.0,16.0,13.0,15.0,19.0,19.0,8.0,5.0,3.0,2.0,1.0,,,,97,5.0,2.8,0.48,0.81
5000110000000001010119,106,2.0,7.0,7.0,11.0,5.0,6.0,7.0,11.0,6.0,6.0,6.0,11.0,5.0,9.0,4.0,,,3.0,,,,38,4.0,3.0,0.58,0.92
5000110000000001010120,116,5.0,8.0,8.0,10.0,8.0,4.0,8.0,11.0,10.0,9.0,6.0,11.0,9.0,5.0,1.0,,3.0,,,,,46,5.0,2.8,0.43,0.83
5000110000000001010122,15,,1.0,,6.0,2.0,,1.0,2.0,,2.0,,1.0,,,,,,,,,,4,3.0,2.0,0.25,0.75
5000110000000001010123,65,6.0,3.0,10.0,3.0,5.0,2.0,10.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,,,,,,23,4.0,2.0,0.57,1.0
5000110000000001010124,56,3.0,1.0,4.0,12.0,3.0,,3.0,3.0,11.0,2.0,3.0,2.0,2.0,1.0,4.0,,,1.0,1.0,,,18,4.0,1.9,0.5,0.89
5000110000000001010125,74,1.0,2.0,5.0,11.0,6.0,4.0,1.0,8.0,7.0,4.0,3.0,6.0,4.0,5.0,3.0,2.0,1.0,1.0,,,,29,4.0,2.0,0.41,0.9
5000110000000001010126,94,7.0,6.0,7.0,4.0,10.0,7.0,7.0,8.0,5.0,5.0,4.0,6.0,7.0,4.0,4.0,2.0,1.0,,,,,41,5.0,2.7,0.59,1.0
5000110000000001010127,32,3.0,2.0,2.0,2.0,4.0,3.0,1.0,4.0,4.0,4.0,,,1.0,,1.0,,,1.0,,,,11,5.0,1.1,0.64,0.82
5000110000000001010129,42,1.0,4.0,5.0,5.0,,3.0,3.0,6.0,3.0,3.0,3.0,1.0,,3.0,1.0,,1.0,,,,,14,4.0,1.9,0.57,1.0
5000110000000001010130,34,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,,3.0,,1.0,2.0,1.0,,,,,,7,5.0,2.0,0.29,1.0
5000110000000001010132,106,5.0,4.0,4.0,10.0,16.0,10.0,4.0,6.0,5.0,8.0,11.0,4.0,6.0,3.0,2.0,4.0,2.0,,2.0,,,35,5.0,1.8,0.6,0.94
5000110000000001010203,54,1.0,2.0,4.0,6.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,,,4.0,,,,,,23,4.0,2.0,0.48,0.87
5000110000000001010204,113,9.0,8.0,9.0,9.0,9.0,14.0,11.0,6.0,8.0,5.0,6.0,3.0,4.0,5.0,3.0,2.0,1.0,,1.0,,,41,4.0,1.5,0.63,0.85
5000110000000001010206,72,4.0,2.0,8.0,6.0,13.0,10.0,1.0,4.0,6.0,1.0,6.0,2.0,3.0,2.0,2.0,2.0,,,,,,29,4.0,2.0,0.45,0.93
5000110000000001010207,43,5.0,2.0,2.0,2.0,2.0,9.0,6.0,4.0,4.0,2.0,,2.0,2.0,1.0,,,,,,,,24,6.0,2.5,0.42,0.92
5000110000000001010208,64,5.0,5.0,4.0,3.0,6.0,3.0,8.0,1.0,5.0,5.0,4.0,1.0,6.0,3.0,2.0,1.0,,2.0,,,,26,6.0,3.7,0.69,0.85
5000110000000001010209,68,2.0,6.0,2.0,3.0,4.0,10.0,4.0,7.0,4.0,2.0,8.0,4.0,7.0,3.0,2.0,,,,,,,34,6.0,3.8,0.65,0.79
5000110000000001010217,174,9.0,16.0,14.0,9.0,12.0,12.0,14.0,21.0,11.0,10.0,12.0,7.0,6.0,9.0,5.0,2.0,5.0,,,,,74,5.0,2.9,0.57,0.86
5000110000000001010218,121,1.0,5.0,8.0,10.0,17.0,16.0,10.0,4.0,5.0,8.0,5.0,7.0,8.0,8.0,2.0,3.0,1.0,3.0,,,,59,5.0,3.0,0.53,0.8
